成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
銀劍東松, 26659806, 145203, 7262, 0, 212132454, 972634, 23955, 306160, 33370, 司隸, 金槍
狼燚丨阿胖, 16704071, 213299, 10773, 0, 146194644, 927043, 20395, 520830, 26630, 司隸, 閒雲
凌魂丨笑容, 25809576, 158723, 22962, 0, 196505273, 919353, 36809, 268765, 31620, 司隸, 閒雲
愛吃橘里, 16127607, 149402, 14935, 0, 165937778, 885986, 39516, 578768, 32100, 司隸, 淩魂
鄉鄉莉莉, 19684957, 150236, 7023, 0, 125929662, 860656, 20169, 314637, 29789, 司隸, 閒雲
月丨白金肝帝, 13616857, 176369, 16713, 0, 166597205, 800367, 31969, 94228, 33423, 司隸, 肥宅
凌魂丨馬革, 32131388, 128382, 20809, 0, 159827757, 771699, 43955, 81947, 29928, 司隸, 淩魂
玥淓汣沐, 8245695, 130352, 5037, 0, 121808390, 766945, 10070, 323157, 25890, 司隸, 淩魂
月丨巴宅Ya, 25049818, 126730, 13693, 0, 134240050, 748451, 29700, 397964, 29740, 司隸, 肥宅
Sakura, 25824753, 133261, 16653, 0, 196158420, 740907, 33981, 85953, 30795, 司隸, 炮灰
銀劍神騎, 43909029, 86755, 34099, 0, 206202280, 739575, 53882, 90181, 33720, 司隸, 銀劍
月丨德瑞克, 25039161, 120520, 9599, 0, 170456414, 734779, 13987, 80624, 29230, 司隸, 肥宅
角落小夥伴, 11339994, 100341, 10686, 0, 145761818, 733923, 32139, 80615, 26158, 司隸, 炮灰
魚缸裡的小魚, 33772454, 120933, 8821, 0, 215084085, 719868, 17722, 86457, 30933, 司隸, 淩魂
銀劍孫公, 29721153, 86453, 30826, 0, 201674297, 719523, 57568, 257649, 34623, 司隸, 銀劍
炮灰丨千里, 19369536, 108304, 20324, 0, 134900428, 715772, 51685, 494354, 32330, 司隸, 炮灰
銀劍南柏, 5800719, 45630, 23089, 0, 162717997, 715335, 34252, 924456, 30376, 司隸, 金槍
凌魂丨天水, 36672724, 104709, 13685, 0, 172809269, 674940, 26851, 932401, 27380, 司隸, 天狼星
玩命丨史塔森, 20958381, 162744, 8427, 0, 144050629, 669548, 26456, 341302, 28473, 司隸, 淩魂
炑炑, 23458479, 93323, 22626, 0, 166818489, 668144, 66381, 242739, 31250, 司隸, 炮灰
銀劍北杉, 32537593, 58508, 10063, 0, 202486344, 656190, 17045, 86791, 29790, 司隸, 金槍
玩命丨鴛鴦, 11405281, 155376, 7169, 0, 195378063, 651531, 14286, 492428, 28993, 司隸, 淩魂
玩命丨歐吉桑, 19223413, 86834, 13712, 0, 158459798, 649289, 25331, 83723, 31370, 司隸, 淩魂
唐少帥, 20533655, 119041, 10583, 0, 118247222, 648646, 33548, 194760, 24530, 司隸, 炮灰
銀劍任鈞, 22018590, 80461, 8311, 0, 147257979, 645462, 18935, 60963, 29040, 司隸, 銀劍
月丨巴宅伍天, 19515384, 74182, 3356, 0, 138128053, 638921, 9239, 414142, 29263, 司隸, 肥宅
狼燚丨蓝莓, 7300187, 87101, 3885, 596225, 128944587, 637449, 8889, 1237027, 32045, 司隸, 閒雲
曾英雄, 18550344, 80744, 8725, 0, 155875288, 625401, 18611, 720788, 29350, 司隸, 天狼星
九方好漢, 27604682, 104636, 12247, 0, 160034121, 622917, 47444, 408718, 30110, 司隸, 淩魂
葉否放, 26569186, 135241, 41608, 0, 168037215, 617469, 98361, 482035, 32986, 司隸, 流浪動物
凌魂丨銀時, 13048035, 116279, 10516, 0, 144085945, 614456, 15294, 266078, 24520, 司隸, 閒雲
不吃魚的貓, 28041318, 122688, 14324, 0, 170798114, 611911, 42620, 579200, 29533, 司隸, 炮灰
戰神丨土, 27156148, 116354, 11875, 0, 169944067, 611723, 24298, 74726, 28970, 司隸, 炮灰
七星檸檬多, 15236125, 115119, 23489, 0, 87899911, 611150, 48833, 418391, 27500, 司隸, 炮灰
銀劍關翔, 27168181, 102256, 12298, 0, 162507757, 596508, 35439, 862356, 27058, 司隸, 金槍
狼燚丨潛農, 23451574, 130521, 4994, 0, 179342907, 589105, 20209, 752355, 34363, 司隸, 閒雲
宇治, 30534896, 153959, 52628, 0, 188593277, 587836, 131418, 80132, 24970, 司隸, 炮灰
浦喜丨化骨龍, 19490140, 77242, 22677, 0, 134638152, 587317, 30741, 587560, 31130, 司隸, 天狼星
月丨雷羽, 15923476, 80115, 8351, 0, 151087123, 586595, 25022, 183772, 29883, 司隸, 肥宅
周英雄, 16040358, 122691, 26431, 0, 123231101, 581471, 40366, 283550, 31633, 司隸, 天狼星
銀劍仲達, 26928991, 96863, 10580, 0, 181365168, 574282, 16711, 365631, 27713, 司隸, 金槍
銀劍陳仔, 37204987, 77687, 31941, 7065209, 185623943, 569701, 44040, 13076207, 36546, 司隸, 銀劍
凌魂丨魔狼, 27429373, 98412, 7938, 0, 169487444, 567620, 25840, 402393, 34069, 司隸, 天狼星
令狐藍藍, 18455579, 144352, 9862, 0, 106826039, 565157, 19243, 217241, 26703, 司隸, 閒雲
銀劍中頑童, 10783537, 40570, 4756, 0, 139158483, 563860, 11522, 847933, 29823, 司隸, 金槍
月丨南方的凰, 42652724, 129653, 6123, 0, 169994926, 552233, 16597, 350614, 27070, 司隸, 肥宅
唔係真事呀, 31085663, 108654, 23580, 2003120, 150910073, 541369, 34348, 2815524, 30306, 司隸, 天狼星
愛吃豆腐, 25926246, 108278, 14537, 0, 128533275, 538026, 45387, 839957, 31096, 司隸, 炮灰
軒風, 18550511, 69257, 202, 0, 176357733, 529614, 3006, 600710, 25033, 司隸, 肥宅
偷食魚嘅貓, 25514783, 99447, 9167, 0, 155643042, 521335, 30073, 391082, 27954, 司隸, 炮灰
貪婪丨上兵蘭, 19843075, 94506, 12202, 0, 160372865, 518569, 26748, 473672, 27886, 司隸, 金槍
月丨可以, 16600594, 85223, 16027, 0, 129987863, 513957, 33850, 944545, 24790, 司隸, 肥宅
月影流风, 13883215, 59993, 40129, 0, 108477309, 509589, 59468, 409008, 29763, 司隸, 金槍
Suede, 23660260, 109450, 14626, 0, 178655352, 500305, 44518, 278196, 27923, 司隸, 流浪動物
凌魂丨西柚, 7952759, 44099, 2484, 0, 126820725, 485938, 10406, 1363186, 26910, 司隸, 閒雲
浦喜丨情人節, 28456947, 101765, 15753, 0, 180566960, 478385, 47589, 81067, 31391, 司隸, 天狼星
偷吃魚的貓, 15476329, 100235, 13993, 0, 123858544, 463831, 37176, 291209, 28642, 司隸, 炮灰
