成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
凌魂丨笑容, 55230810, 298928, 4036, 186560, 94714788, 300558, 4036, 268765, 25960, 司隸, 閒雲
凌魂丨魔狼, 43831010, 166452, 6251, 321246, 76952817, 166452, 6251, 402393, 28150, 司隸, 天狼星
Sakura, 47018490, 256366, 6461, 0, 82251918, 256366, 6461, 85953, 24273, 司隸, 炮灰
獨居老年人, 26327961, 144596, 10661, 120952, 40084017, 145021, 10661, 410124, 20043, 司隸, 炮灰
凌魂丨戢武, 18496940, 41331, 2517, 447826, 32456953, 41333, 2517, 447826, 18480, 司隸, 天狼星
銀劍東松, 71566599, 315116, 6577, 205277, 123323619, 321927, 6577, 306160, 28440, 司隸, 金槍
狼燚丨阿胖, 45046630, 250866, 1653, 520830, 76194272, 250866, 1653, 520830, 24093, 司隸, 閒雲
炮灰丨千里, 42855869, 200387, 6172, 410437, 72406512, 203236, 6172, 494354, 26270, 司隸, 炮灰
銀劍神騎, 39434230, 255717, 6258, 0, 89879809, 255718, 6258, 90181, 25699, 司隸, 銀劍
凌魂丨天水, 39332439, 209960, 4607, 725814, 83579750, 211814, 4607, 932401, 23483, 司隸, 天狼星
凌魂丨馬革, 39102598, 193107, 4455, 0, 66371435, 195350, 4455, 81947, 23990, 司隸, 淩魂
凌魂丨銀時, 33641822, 244039, 1887, 166482, 76609621, 248493, 1887, 266078, 26930, 司隸, 閒雲
龍丨肥龍, 31360827, 116761, 5966, 0, 62980191, 118605, 5966, 0, 16360, 司隸, 流浪動物
月丨巴宅阿瑞, 25832494, 63876, 3409, 401825, 48210185, 63879, 3409, 609919, 23280, 江漢, 肥宅
銀劍發春仔, 79728329, 128181, 2988, 340623, 131899920, 132677, 2988, 422706, 25930, 司隸, 銀劍
龍丨造紙龍, 67358471, 9122, 1174, 0, 76431863, 10072, 1174, 82415, 16160, 江漢, 流浪動物
銀劍北杉, 65438986, 260322, 1470, 0, 129334673, 261273, 1470, 86791, 27550, 司隸, 金槍
軒風, 64402709, 128892, 1000, 0, 103996569, 139845, 1000, 600710, 24203, 司隸, 肥宅
