成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
凌魂丨笑容, 67526761, 305415, 9216, 0, 162832156, 617792, 13252, 268765, 27620, 司隸, 閒雲
凌魂丨魔狼, 52247921, 240836, 10308, 0, 129378170, 410839, 16559, 402393, 33050, 司隸, 天狼星
Sakura, 69183622, 260379, 10867, 0, 152503730, 525548, 17328, 85953, 29755, 司隸, 炮灰
炮灰丨千里, 33280815, 299871, 21204, 0, 106049187, 510142, 27376, 494354, 28360, 司隸, 炮灰
凌魂丨戢武, 8717258, 62731, 6117, 0, 41440826, 109050, 8634, 447826, 20393, 司隸, 天狼星
銀劍神騎, 62757758, 299606, 9288, 0, 152982423, 562224, 15546, 90181, 29823, 司隸, 銀劍
銀劍東松, 48703842, 393511, 7251, 0, 172140072, 717691, 13828, 306160, 30160, 司隸, 金槍
凌魂丨銀時, 46712264, 144755, 2482, 0, 124432712, 415471, 4369, 266078, 26260, 司隸, 閒雲
玩命丨歐吉桑, 45056181, 262582, 7095, 0, 132330002, 443765, 9933, 83723, 29219, 司隸, 淩魂
狼燚丨阿胖, 43578053, 329800, 7580, 0, 120429586, 593816, 9233, 520830, 26280, 司隸, 閒雲
凌魂丨馬革, 40954476, 328811, 15800, 0, 108982835, 534296, 20255, 81947, 27476, 司隸, 淩魂
凌魂丨天水, 37351231, 263340, 7723, 0, 121821968, 492977, 12330, 932401, 24723, 司隸, 天狼星
獨居老年人, 22154976, 155422, 11251, 0, 62754276, 310752, 21912, 410124, 25063, 司隸, 炮灰
龍丨肥龍, 19854308, 107162, 2507, 0, 83506856, 233863, 8473, 0, 17020, 司隸, 流浪動物
月丨巴宅阿瑞, 19213516, 132160, 14301, 0, 67762011, 202808, 17710, 609919, 24880, 司隸, 肥宅
銀劍發春仔, 73963147, 138352, 4328, 0, 206600724, 280843, 7316, 422706, 29040, 司隸, 銀劍
銀劍梅長蘇, 63465478, 124062, 7114, 0, 147789627, 167632, 11188, 580220, 29130, 司隸, 金槍
銀劍孫公, 60823019, 282793, 11690, 0, 154418616, 567109, 21901, 257649, 31320, 司隸, 銀劍
銀劍爆渠王, 59816695, 92374, 3900, 0, 147679587, 173195, 6182, 394337, 27620, 司隸, 銀劍
凌魂丨小A, 56078821, 171286, 8843, 0, 120871352, 296037, 12486, 832973, 25550, 司隸, 淩魂
Suede, 55239237, 170025, 14099, 0, 137295659, 326344, 23912, 278196, 27419, 司隸, 流浪動物
戰神丨土, 54859168, 197075, 7632, 0, 127742687, 411274, 12023, 74726, 28260, 司隸, 炮灰
銀劍歐底特, 54472779, 69027, 12727, 0, 138327895, 131176, 22472, 498997, 23990, 司隸, 金槍
銀劍烈焰, 54380725, 93485, 5852, 0, 120438471, 180546, 13972, 404192, 26665, 司隸, 銀劍
男模觀世陰, 54034752, 57906, 8108, 0, 120760250, 103466, 12119, 1169610, 26373, 司隸, 閒雲
玩命丨鴛鴦, 52340766, 173754, 2358, 0, 165693152, 434713, 6417, 492428, 26180, 司隸, 淩魂
狼燚丨潛農, 51962469, 230984, 10909, 0, 145602001, 390801, 15180, 752355, 31463, 司隸, 閒雲
