成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
銀劍東松, 23492241, 141499, 3030, 0, 146928471, 465679, 9607, 306160, 30123, 司隸, 金槍
角落小夥伴, 11441722, 132927, 4720, 0, 93518366, 427040, 12827, 80615, 22755, 司隸, 炮灰
玥淓汣沐, 14566314, 105265, 837, 0, 99782106, 418195, 3677, 323157, 24020, 司隸, 淩魂
凌魂丨笑容, 40502518, 85302, 810, 0, 135807913, 397679, 4846, 268765, 27120, 司隸, 閒雲
愛吃橘里, 12501110, 119638, 4844, 0, 106625387, 393544, 15822, 578768, 29510, 司隸, 淩魂
狼燚丨阿胖, 22005798, 119004, 1230, 0, 98857331, 383020, 2883, 520830, 24733, 司隸, 閒雲
鄉鄉莉莉, 10280537, 88148, 3843, 0, 72581559, 378307, 8369, 314637, 28103, 司隸, 閒雲
銀劍孫公, 26972233, 90785, 2521, 0, 120567830, 375101, 12732, 257649, 29460, 司隸, 銀劍
Sakura, 18394351, 109298, 5154, 0, 101714459, 374467, 11615, 85953, 25133, 司隸, 炮灰
銀劍神騎, 15167319, 111228, 3648, 0, 105391984, 373846, 9906, 90181, 27129, 司隸, 銀劍
月丨德瑞克, 18621454, 118005, 0, 0, 101348750, 358474, 522, 80624, 25473, 司隸, 肥宅
月丨巴宅Ya, 12404780, 99881, 2097, 0, 76656843, 350697, 5149, 397964, 26002, 司隸, 肥宅
魚缸裡的小魚, 11074238, 93989, 783, 0, 112119692, 347193, 4480, 86457, 29100, 司隸, 淩魂
銀劍南柏, 13186547, 93458, 684, 0, 116495534, 346984, 4876, 924456, 27383, 司隸, 金槍
銀劍北杉, 21182078, 76694, 0, 0, 150706485, 341764, 1470, 86791, 27590, 司隸, 金槍
月丨白金肝帝, 11730790, 108434, 1752, 0, 112055211, 337325, 9015, 94228, 27320, 司隸, 肥宅
凌魂丨馬革, 12658561, 129977, 1780, 0, 80686920, 335462, 6235, 81947, 25250, 司隸, 淩魂
狼燚丨蓝莓, 7028900, 68831, 501, 0, 83384438, 333168, 3547, 640802, 28683, 司隸, 閒雲
炮灰丨千里, 9792906, 120134, 6141, 0, 82561278, 330405, 12313, 494354, 26093, 司隸, 炮灰
玩命丨鴛鴦, 22227304, 51012, 1196, 0, 135579690, 311971, 5255, 492428, 24810, 司隸, 淩魂
凌魂丨銀時, 23647077, 41005, 1148, 0, 101367525, 311721, 3035, 266078, 27240, 司隸, 閒雲
炑炑, 18216189, 91484, 5976, 0, 107131218, 310601, 25797, 242739, 26976, 司隸, 炮灰
九方好漢, 10610580, 82680, 7093, 0, 91007019, 305139, 18253, 408718, 24260, 司隸, 淩魂
凌魂丨天水, 18510723, 73983, 1222, 0, 102981460, 303620, 5829, 932401, 23543, 司隸, 天狼星
葉否放, 5828180, 74825, 3231, 0, 94295754, 302053, 19468, 482035, 27330, 司隸, 流浪動物
銀劍任鈞, 6742560, 80407, 1170, 0, 85826005, 298686, 4598, 60963, 27120, 司隸, 銀劍
戰神丨土, 15383321, 82375, 1425, 0, 88266840, 296574, 5816, 74726, 23904, 司隸, 炮灰
月丨南方的凰, 11930059, 89298, 201, 0, 108296499, 294750, 5957, 350614, 25790, 司隸, 肥宅
月丨雷羽, 13955652, 80218, 363, 0, 109243659, 294679, 5764, 183772, 25750, 司隸, 肥宅
周英雄, 15599235, 98256, 2664, 0, 76695844, 285177, 5499, 283550, 27093, 司隸, 天狼星
曾英雄, 6880131, 48524, 0, 0, 92576272, 284940, 3050, 720788, 25990, 司隸, 天狼星
不吃魚的貓, 13115846, 100539, 3734, 0, 92190279, 278843, 13591, 579200, 23653, 司隸, 炮灰
月丨巴宅伍天, 15076217, 98401, 3420, 0, 96442359, 277225, 5370, 414142, 25980, 司隸, 肥宅
凌魂丨魔狼, 15487346, 99259, 2301, 0, 92617595, 269262, 8552, 402393, 29405, 司隸, 天狼星
銀劍陳仔, 24192280, 52819, 1278, 0, 111697906, 266369, 4361, 713970, 28980, 司隸, 銀劍
銀劍關翔, 5639012, 82874, 3880, 0, 87793061, 264722, 11691, 862356, 21919, 司隸, 金槍
月影流风, 4463247, 74681, 2748, 0, 69879128, 263564, 6008, 409008, 18073, 司隸, 金槍
唐少帥, 9171544, 96006, 4203, 0, 76136178, 262755, 16553, 194760, 20080, 司隸, 炮灰
浦喜丨化骨龍, 14939076, 53065, 961, 0, 87362979, 261051, 3903, 587560, 27533, 司隸, 天狼星
狼燚丨從一, 11837898, 64235, 2808, 0, 98771556, 257279, 7309, 482231, 26500, 司隸, 閒雲
玩命丨史塔森, 15874423, 72841, 4533, 0, 84716725, 255830, 8209, 341302, 21490, 司隸, 淩魂
銀劍二筒, 15536702, 31541, 8231, 0, 85988445, 255734, 22447, 100865, 25685, 司隸, 銀劍
七星檸檬多, 10001422, 105245, 2554, 0, 43208641, 251222, 8715, 418391, 22080, 司隸, 炮灰
貪婪丨上兵蘭, 8706398, 68938, 2408, 0, 93399122, 250651, 5247, 473672, 25570, 司隸, 金槍
凌魂丨西柚, 13372504, 50456, 451, 0, 94729527, 244687, 5712, 1363186, 26110, 司隸, 閒雲
宇治, 16091289, 88006, 17395, 0, 102845660, 243326, 41220, 80132, 23866, 司隸, 炮灰
狼燚丨潛農, 13952786, 76481, 2646, 0, 107592318, 236298, 6917, 752355, 29349, 司隸, 閒雲
銀劍白板仔, 21134544, 63750, 1094, 0, 124318596, 234933, 4570, 406713, 27390, 司隸, 銀劍
玩命丨歐吉桑, 23394706, 50030, 1643, 0, 110668527, 231213, 4481, 83723, 28613, 司隸, 淩魂
憤怒丨中士鄧, 9401206, 53443, 800, 0, 71349579, 228973, 4164, 650804, 23580, 司隸, 金槍
銀劍仲達, 12861804, 43444, 1484, 0, 101605538, 227464, 4052, 365631, 23730, 司隸, 金槍
羅英雄, 8218927, 52742, 7934, 0, 77461263, 227333, 20649, 331536, 23610, 司隸, 天狼星
軒風, 12054083, 76440, 700, 0, 116413067, 223537, 1700, 600710, 24503, 司隸, 肥宅
月丨可以, 15991874, 66208, 1145, 0, 74033136, 219149, 9746, 944545, 21180, 司隸, 肥宅
浦喜丨情人節, 21367370, 57877, 2176, 0, 105051289, 218558, 10632, 81067, 24859, 司隸, 天狼星
愛吃豆腐, 12133519, 60637, 1911, 0, 73977134, 215166, 16516, 839957, 25593, 司隸, 炮灰
偷食魚嘅貓, 15400023, 64104, 1657, 0, 85251525, 211673, 8404, 391082, 23380, 司隸, 炮灰
銀劍中頑童, 10219966, 29310, 336, 0, 87826303, 211659, 4283, 847933, 26480, 司隸, 金槍
偷吃魚的貓, 9358161, 59135, 1804, 0, 68197038, 208829, 11553, 291209, 23863, 司隸, 炮灰
龍丨四季廸魚, 11912775, 57003, 1225, 0, 100650348, 207003, 6514, 580907, 21610, 司隸, 流浪動物
唔係真事呀, 12221969, 57503, 1738, 0, 79577006, 206077, 8191, 812404, 23826, 司隸, 天狼星
銀劍右奇, 23140431, 52953, 601, 0, 104119595, 200465, 4969, 396038, 26740, 司隸, 銀劍
Suede, 11522064, 39919, 2763, 0, 93578486, 196238, 12576, 278196, 25433, 司隸, 流浪動物
月丨暴君熊, 14967268, 57631, 4070, 0, 113755664, 192003, 12626, 263070, 25340, 司隸, 肥宅
銀劍潛龍, 6346803, 38016, 5309, 80685, 88660664, 187161, 18919, 330034, 19833, 司隸, 銀劍
獨居老年人, 4040641, 30121, 1970, 0, 44639941, 185451, 12631, 410124, 20980, 司隸, 炮灰
月丨棒打, 13690056, 62197, 950, 0, 94633187, 183376, 5783, 307059, 24030, 司隸, 肥宅
凌魂丨小A, 16558988, 55485, 1547, 0, 81351519, 180236, 5190, 832973, 21320, 司隸, 淩魂
銀劍發春仔, 10668271, 34180, 432, 0, 143305848, 176671, 3420, 422706, 27830, 司隸, 銀劍
銀劍瀑渠王, 6383733, 45541, 5862, 0, 61566622, 172662, 14346, 0, 22730, 司隸, 銀劍
狼燚丨出返去, 9253882, 42452, 2190, 0, 89553282, 169876, 11396, 824675, 21760, 司隸, 閒雲
銀劍丨多龍, 10472583, 37956, 800, 0, 65486934, 168838, 3900, 83697, 25967, 江漢, 金槍
銀劍低調, 20428491, 50391, 4347, 0, 87284583, 166493, 14797, 423193, 29200, 司隸, 銀劍
阿迪, 8190347, 34070, 1527, 0, 83753265, 166167, 5564, 84695, 27400, 司隸, 炮灰
阿古路, 7962449, 58701, 3693, 0, 23642177, 165528, 5582, 0, 18100, 司隸, 炮灰
龍丨肥龍, 8409825, 38534, 350, 0, 72062373, 165235, 6316, 0, 16580, 司隸, 流浪動物
改咩名, 20362121, 49686, 2370, 0, 87056552, 163575, 10705, 615433, 29396, 司隸, 淩魂
凌魂丨澀澀, 13572993, 56662, 1688, 0, 71303547, 162746, 5918, 0, 20515, 司隸, 淩魂
天之鳳凰, 8670146, 62165, 895, 0, 90130684, 161612, 3216, 90773, 22703, 江漢, 金槍
夜讀五車書, 12062277, 31190, 3987, 0, 66722211, 156865, 13697, 806780, 21080, 司隸, 天狼星
摩連奴, 9287865, 31488, 1120, 0, 100088228, 155803, 5550, 415700, 23950, 司隸, 淩魂
凌魂丨北歐拳, 5802696, 40959, 214, 0, 77702558, 155502, 3424, 0, 20060, 司隸, 淩魂
傲驕丨鬼連長, 16999896, 41245, 300, 0, 104670465, 155076, 6772, 584258, 24930, 司隸, 金槍
龍丨馬卡龍, 17025246, 48414, 1218, 0, 106375511, 151061, 4931, 83231, 22740, 司隸, 流浪動物
銀劍挖呀挖, 13584426, 45965, 3451, 0, 78630741, 150523, 7731, 492064, 19540, 司隸, 金槍
月丨莫西多, 8898824, 50127, 3249, 0, 47777125, 149972, 6671, 247582, 17856, 司隸, 肥宅
狼燚l上善, 8767448, 22333, 369, 0, 54955034, 148706, 7086, 104697, 22350, 司隸, 閒雲
凌魂丨餐蛋麵, 11785007, 52171, 2728, 0, 77024701, 148684, 8653, 380606, 22983, 司隸, 淩魂
銀劍神鼻, 13872928, 46504, 1599, 368533, 87252535, 148239, 6197, 898931, 27240, 司隸, 銀劍
殘存末路, 10347731, 38998, 186, 0, 65384177, 147971, 3784, 81090, 26240, 司隸, 閒雲
浦喜丨孝熤, 10355620, 48791, 665, 0, 75187875, 145163, 4977, 1262953, 22230, 司隸, 天狼星
銀劍阿姨, 11759886, 30336, 1497, 0, 66099561, 144153, 4471, 395985, 18910, 司隸, 銀劍
狼燚I阿瘦, 6838444, 25561, 451, 0, 63361574, 142595, 3914, 323499, 27973, 司隸, 閒雲
玩命l大愛, 17073505, 53774, 2411, 0, 68758091, 141816, 3804, 264071, 21240, 司隸, 淩魂
猴, 13127258, 39024, 763, 77438, 66909573, 141659, 3364, 347020, 23815, 司隸, 炮灰
令狐藍藍, 12141467, 10399, 687, 0, 65154052, 140890, 4571, 217241, 26423, 司隸, 閒雲
銀劍魔皇, 4324260, 32449, 878, 0, 38076912, 140176, 3607, 112988, 21100, 司隸, 銀劍
銀劍怪獸, 4823774, 41497, 2848, 0, 67200575, 140174, 6778, 364167, 19679, 司隸, 銀劍
銀劍臭茜, 12478830, 37264, 700, 0, 58140551, 138232, 2512, 356412, 21123, 司隸, 銀劍
小彌子, 11040254, 43572, 550, 101467, 80240245, 137326, 3562, 504512, 24338, 司隸, 淩魂
龍丨貓貓龍, 13394506, 52768, 756, 0, 81137048, 137259, 10940, 482755, 23150, 司隸, 流浪動物
星界豆, 13819028, 22099, 3333, 0, 90009740, 134062, 18365, 543031, 25140, 司隸, 天狼星
殘兵小白, 9253634, 37008, 795, 0, 66419092, 133469, 5065, 87079, 25300, 江漢, 淩魂
暴躁天竺鼠, 8174323, 31279, 400, 0, 65669666, 132242, 4306, 590226, 25850, 江漢, 閒雲
低沉的花椒, 15727286, 41556, 2142, 1043469, 84847391, 132226, 7675, 2019120, 25753, 司隸, 肥宅
太史猴哥, 17498860, 40697, 292, 0, 81159649, 126499, 3071, 83478, 24190, 司隸, 淩魂
銀劍烈焰, 19351833, 38597, 1319, 0, 85409579, 125658, 9439, 404192, 22980, 司隸, 銀劍
凌宇, 6406682, 25479, 850, 0, 74844628, 125314, 2950, 148612, 22190, 司隸, 流浪動物
暴食丨逃兵逆, 13477448, 25244, 3023, 0, 82993581, 125086, 5270, 100122, 18790, 司隸, 金槍
月丨怠惰, 9549927, 33162, 701, 0, 57297484, 125049, 3233, 725898, 21730, 司隸, 肥宅
月丨獺祭, 10368980, 38681, 750, 0, 49623749, 122726, 8135, 86428, 19613, 司隸, 肥宅
三國窮二代, 7990642, 39931, 2920, 0, 74303536, 122513, 6964, 340854, 21509, 司隸, 炮灰
條子杯杯, 16545296, 37146, 8340, 0, 67216546, 121469, 12480, 125615, 23506, 司隸, 流浪動物
龍趙, 6573240, 28330, 400, 0, 58062899, 119130, 2808, 337642, 18220, 司隸, 流浪動物
銀劍丹尼, 8341076, 38714, 146, 0, 55954660, 118697, 4521, 623213, 19953, 司隸, 金槍
月丨南方的貓, 9394305, 36672, 384, 0, 68281036, 117994, 3208, 965967, 23523, 司隸, 肥宅
