成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
愛吃橘里, 2194677, 43747, 5655, 0, 152004848, 780331, 30236, 578768, 30810, 司隸, 淩魂
宇治, 7958336, 43545, 9243, 0, 166016717, 477422, 88033, 80132, 27546, 司隸, 炮灰
銀劍東松, 9638645, 42266, 2732, 0, 195111293, 869697, 19425, 306160, 32480, 司隸, 金槍
愛吃豆腐, 6582291, 36166, 6625, 0, 109189320, 465914, 37475, 839957, 29030, 司隸, 炮灰
令狐藍藍, 2615274, 36099, 1709, 0, 90985734, 456904, 11090, 217241, 29700, 司隸, 閒雲
七星檸檬多, 3352534, 35665, 8112, 0, 76016320, 531696, 33456, 418391, 24850, 司隸, 炮灰
偷吃魚的貓, 5631714, 35077, 5985, 0, 114013929, 398673, 29168, 291209, 27906, 司隸, 炮灰
玩命丨史塔森, 9832832, 33848, 4167, 0, 132925080, 540652, 22196, 341302, 27423, 司隸, 淩魂
凌魂丨魔狼, 4428104, 32912, 6574, 0, 146486175, 502120, 24476, 402393, 33363, 司隸, 天狼星
銀劍爆渠王, 6941461, 32760, 6135, 0, 163621392, 218244, 12667, 394337, 28593, 司隸, 銀劍
銀劍北杉, 3712489, 31784, 5053, 0, 173661240, 629466, 12035, 86791, 28830, 司隸, 金槍
戰神丨土, 5103255, 31604, 7392, 0, 147891174, 526973, 19815, 74726, 28150, 司隸, 炮灰
炮灰丨千里, 2868303, 31568, 7849, 0, 118399195, 639036, 39210, 494354, 30150, 司隸, 炮灰
不吃魚的貓, 8677711, 31247, 6369, 0, 151434507, 520470, 34665, 579200, 28083, 司隸, 炮灰
周英雄, 2246368, 31094, 5269, 0, 109437111, 489874, 19204, 283550, 29060, 司隸, 天狼星
鄉鄉莉莉, 4086736, 31051, 3948, 0, 110331441, 741471, 17094, 314637, 30033, 司隸, 閒雲
銀劍神騎, 10093124, 30982, 12389, 0, 172386375, 683802, 32172, 90181, 31236, 司隸, 銀劍
唔係真事呀, 9042092, 29644, 5799, 0, 128866502, 462359, 16567, 812404, 28496, 司隸, 天狼星
玥淓汣沐, 2432902, 29019, 1942, 0, 115995597, 665612, 6975, 323157, 24653, 司隸, 淩魂
凌魂丨笑容, 7631103, 28526, 7768, 0, 178326800, 789156, 21615, 268765, 29870, 司隸, 閒雲
葉否放, 7201441, 28487, 12341, 0, 148669470, 510715, 69094, 482035, 32523, 司隸, 流浪動物
鋼管天竺鼠, 6639054, 28103, 4801, 0, 144605300, 256855, 19860, 810919, 28126, 司隸, 閒雲
月丨白金肝帝, 3886842, 28007, 6171, 0, 156867190, 652005, 21427, 94228, 31413, 司隸, 肥宅
月丨棒打, 3589641, 27019, 7704, 0, 123214041, 367169, 22609, 437176, 27456, 司隸, 肥宅
唐少帥, 2401131, 26722, 2771, 0, 100114698, 556327, 25736, 194760, 22560, 司隸, 炮灰
狼燚丨阿胖, 1706232, 25802, 2618, 0, 131196805, 739546, 12240, 520830, 26200, 司隸, 閒雲
浦喜丨情人節, 9379815, 25592, 6159, 0, 161489828, 402212, 37995, 81067, 30814, 司隸, 天狼星
天之鳳凰, 6829735, 24690, 0, 0, 144615957, 359194, 7463, 90773, 28226, 司隸, 金槍
凌魂丨天水, 9251742, 24499, 3664, 0, 145388287, 594730, 16830, 932401, 26336, 司隸, 天狼星
浦喜丨螞蟻, 1225012, 24465, 3042, 0, 71070424, 242701, 13798, 306480, 23500, 司隸, 天狼星
狼燚丨潛農, 2224097, 24062, 3378, 0, 158115430, 482646, 18593, 752355, 31897, 司隸, 閒雲
玩命丨鴛鴦, 1603770, 23483, 4158, 0, 185576552, 519638, 11275, 492428, 28623, 司隸, 淩魂
月丨德瑞克, 6065225, 23481, 4670, 0, 151482478, 637740, 9058, 80624, 29090, 司隸, 肥宅
太史猴哥, 1716966, 23421, 3919, 0, 107358954, 303648, 15248, 83478, 26735, 司隸, 淩魂
偷食魚嘅貓, 5510538, 22985, 4056, 0, 135638797, 444873, 24962, 391082, 26304, 司隸, 炮灰
Sakura, 5148154, 22339, 8568, 0, 175481821, 629985, 25896, 85953, 30315, 司隸, 炮灰
Suede, 5943487, 22153, 5972, 0, 160938579, 413008, 35864, 278196, 27940, 司隸, 流浪動物
銀劍丨必廚, 7639901, 21736, 2903, 0, 100563697, 156008, 8235, 4907134, 29015, 司隸, 銀劍
月丨南方的凰, 4653702, 21634, 107, 0, 131995904, 444214, 10581, 350614, 26790, 司隸, 肥宅
浦喜丨番茄, 2614320, 20840, 4658, 0, 65360508, 197550, 13579, 1145143, 21310, 司隸, 天狼星
銀劍關翔, 2134440, 20532, 5331, 0, 137474016, 514784, 28472, 862356, 26856, 司隸, 金槍
銀劍神鼻, 3246901, 20383, 6241, 0, 137459224, 306492, 20804, 898931, 30669, 司隸, 銀劍
銀劍陳仔, 5364999, 19309, 2335, 775825, 153783955, 511323, 14434, 6786823, 33760, 司隸, 銀劍
猴, 4670139, 19023, 2493, 0, 105524161, 274526, 14435, 347020, 26488, 司隸, 炮灰
凌魂丨銀時, 2095313, 18964, 5325, 0, 133133223, 517141, 10103, 266078, 26140, 司隸, 閒雲
炑炑, 5493782, 18670, 6138, 0, 148853792, 593491, 49893, 242739, 30160, 司隸, 炮灰
銀劍孫公, 2853937, 18515, 9411, 0, 174807081, 651585, 36153, 257649, 33330, 司隸, 銀劍
改咩名, 1307371, 18279, 7264, 0, 122098249, 364860, 31744, 890756, 32453, 司隸, 淩魂
銀劍仲達, 3300189, 17881, 4080, 0, 157736366, 495300, 10211, 365631, 28010, 司隸, 金槍
條子杯杯, 4940809, 17799, 7032, 0, 103953879, 274745, 32594, 125615, 24863, 司隸, 流浪動物
九方好漢, 2604280, 17470, 5638, 0, 135033719, 535751, 40835, 408718, 27700, 司隸, 淩魂
浦喜丨夜影, 862919, 17026, 0, 0, 61804761, 183056, 3800, 0, 21380, 司隸, 天狼星
月丨獺祭, 4889730, 16717, 4235, 0, 88605723, 236776, 16978, 86428, 22233, 司隸, 肥宅
月丨巴宅伍天, 5285378, 16358, 0, 0, 123898047, 581097, 5883, 414142, 29090, 司隸, 肥宅
月丨巴宅Ya, 5684215, 15554, 4260, 0, 114874447, 637275, 20267, 397964, 28783, 司隸, 肥宅
獨居老年人, 3455693, 15535, 5922, 0, 85555544, 394768, 29924, 410124, 25910, 司隸, 炮灰
月影流风, 3703577, 15519, 5149, 0, 98297671, 465115, 24488, 409008, 22599, 司隸, 金槍
司寇仕林, 789087, 15493, 6437, 115084, 80021329, 235880, 17982, 1142195, 26985, 司隸, 炮灰
袁天禹, 5647345, 15488, 7677, 0, 114923175, 251592, 45344, 264866, 29093, 司隸, 流浪動物
夜讀五車書, 2667350, 15448, 6130, 0, 90838260, 304072, 26217, 806780, 23173, 司隸, 天狼星
單于抽名將, 5013538, 15300, 4566, 0, 26586095, 108517, 14467, 0, 27803, 司隸, 肥宅
凌魂丨馬革, 13507180, 14957, 6030, 0, 141203549, 658274, 29176, 81947, 29523, 司隸, 淩魂
低沉的花椒, 3804461, 14815, 7829, 0, 111870092, 297920, 31521, 2019120, 29829, 司隸, 肥宅
阿迪, 2413150, 14660, 3326, 0, 133060164, 336213, 14793, 84695, 29970, 司隸, 炮灰
月丨雷羽, 2897235, 14446, 4010, 0, 138060882, 520926, 20681, 183772, 29856, 司隸, 肥宅
浦喜丨化骨龍, 2243220, 14337, 5967, 0, 117391232, 524412, 14031, 587560, 29472, 司隸, 天狼星
浦喜丨孝熤, 715410, 13969, 5455, 0, 98549949, 318014, 12585, 2596455, 24653, 司隸, 天狼星
羅英雄, 1128176, 13906, 2725, 0, 115531660, 344572, 34919, 331536, 29496, 司隸, 天狼星
