成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
凌魂丨笑容, 57957425, 145039, 5350, 0, 153262820, 457416, 9386, 268765, 27786, 司隸, 閒雲
凌魂丨魔狼, 23388914, 164732, 4059, 0, 100519163, 334735, 10310, 402393, 28800, 司隸, 天狼星
Sakura, 35830519, 179496, 7419, 0, 119150627, 444665, 13880, 85953, 26391, 司隸, 炮灰
炮灰丨千里, 12929081, 168001, 7797, 0, 85697453, 378272, 13969, 494354, 26850, 司隸, 炮灰
凌魂丨戢武, 3939645, 42414, 2540, 0, 36663213, 88733, 5057, 447826, 20370, 司隸, 天狼星
銀劍東松, 35022476, 232198, 3330, 0, 158458706, 556378, 9907, 306160, 30120, 司隸, 金槍
凌魂丨銀時, 32298819, 91461, 1418, 0, 110019267, 362177, 3305, 266078, 26970, 司隸, 閒雲
狼燚丨阿胖, 31410057, 204851, 3611, 0, 108261590, 468867, 5264, 520830, 27103, 司隸, 閒雲
凌魂丨天水, 28655523, 142677, 2295, 0, 113126260, 372314, 6902, 932401, 23663, 司隸, 天狼星
銀劍神騎, 28551746, 154780, 5532, 0, 118776411, 417398, 11790, 90181, 28142, 司隸, 銀劍
凌魂丨馬革, 19475638, 205084, 7322, 0, 87503997, 410569, 11777, 81947, 27473, 司隸, 淩魂
月丨巴宅阿瑞, 12093627, 37777, 3911, 0, 60642122, 108425, 7320, 609919, 24280, 司隸, 肥宅
龍丨肥龍, 12077336, 70911, 1181, 0, 75729884, 197612, 7147, 0, 16690, 司隸, 流浪動物
獨居老年人, 7946933, 88193, 4455, 0, 48546233, 243523, 15116, 410124, 21970, 司隸, 炮灰
銀劍孫公, 40625201, 178350, 4914, 0, 134220798, 462666, 15125, 257649, 30073, 司隸, 銀劍
啱巴, 37747461, 41145, 926, 0, 97148160, 79261, 5057, 412589, 24040, 司隸, 炮灰
浦喜丨邢, 37431573, 31628, 7520, 0, 75167186, 59702, 10688, 412224, 22000, 司隸, 天狼星
銀劍梅長蘇, 34899660, 56438, 1407, 0, 119223809, 100008, 5481, 580220, 28270, 司隸, 金槍
戰神丨土, 34640852, 118332, 4556, 0, 107524371, 332531, 8947, 74726, 25473, 司隸, 炮灰
玩命丨鴛鴦, 34511719, 106121, 2323, 0, 147864105, 367080, 6382, 492428, 25583, 司隸, 淩魂
