成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
浦喜丨螞蟻, 27131376, 96794, 6696, 0, 62713164, 130608, 8246, 306480, 23300, 司隸, 天狼星
銀劍啵啵, 26986604, 49178, 4854, 0, 69096957, 64041, 4854, 1066490, 28000, 司隸, 銀劍
愛吃豆腐, 26945278, 174051, 7722, 0, 88788893, 328580, 22327, 839957, 26149, 司隸, 炮灰
浦喜丨葉孤城, 26815548, 31542, 1489, 0, 63144950, 50926, 3039, 352636, 22250, 司隸, 天狼星
銀劍阿姨, 26708496, 89746, 2589, 0, 81048171, 203563, 5563, 395985, 22670, 司隸, 銀劍
漢將, 26670315, 94072, 3270, 0, 78977828, 160621, 3270, 0, 25095, 司隸, 閒雲
銀劍挖呀挖, 26550965, 117807, 7940, 0, 91597280, 222365, 12220, 492064, 19703, 司隸, 金槍
浦喜丨博士, 26533682, 7383, 4009, 1921154, 41896277, 7556, 5190, 3377418, 15989, 司隸, 小號
喻建, 26216060, 20409, 700, 0, 58555463, 31706, 2303, 859204, 15426, 司隸, 流浪動物
戰I來吧寶貝, 26201378, 44458, 5498, 0, 89544381, 117765, 12564, 729214, 22850, 司隸, 肥宅
夜讀五車書, 26062947, 103034, 5657, 0, 80722881, 228709, 15367, 806780, 22253, 司隸, 天狼星
熊軍下尾夜嵐, 26050205, 27521, 1599, 0, 75089805, 48298, 3419, 1562176, 21543, 司隸, 流浪動物
曾英雄, 25669318, 177726, 3822, 0, 111365459, 414142, 6872, 720788, 26960, 司隸, 天狼星
月丨獺祭, 25657325, 96762, 2417, 0, 64912094, 180807, 9802, 86428, 21433, 司隸, 肥宅
金英雄, 25546290, 101272, 14312, 0, 73777531, 170999, 19605, 424669, 28141, 司隸, 天狼星
玩命丨裘鬼其, 25250203, 60976, 2674, 0, 66788830, 140880, 11196, 788736, 22953, 司隸, 淩魂
令狐藍藍, 25047250, 147200, 2051, 0, 78059835, 277691, 5935, 217241, 28820, 司隸, 閒雲
似舞丨白晴嵐, 25013611, 19809, 2070, 1929910, 67508569, 30211, 4428, 3825939, 19040, 司隸, 流浪動物
暴食丨逃兵逆, 24638341, 96742, 5208, 0, 94154474, 196584, 7455, 100122, 21650, 司隸, 金槍
七星檸檬多, 24348937, 216471, 12426, 0, 57556156, 362448, 18587, 418391, 22310, 司隸, 炮灰
銀劍丨一葉, 24221618, 98411, 2111, 302827, 88337558, 141347, 3161, 337570, 23940, 司隸, 銀劍
狼燚丨蓝莓, 23486380, 189203, 1053, 0, 99841918, 453540, 4099, 640802, 29910, 司隸, 閒雲
狼燚l紅玉, 22964333, 10072, 772, 0, 49740096, 40138, 2756, 0, 17931, 司隸, 閒雲
銀劍瀑渠王, 22925542, 79892, 10766, 0, 78108431, 207013, 19250, 0, 26388, 司隸, 銀劍
月丨巴宅伍天, 21796112, 227218, 3682, 0, 103162254, 406042, 5632, 414142, 26940, 司隸, 肥宅
唐少帥, 21425329, 236909, 7600, 0, 88389963, 403658, 19950, 194760, 19920, 司隸, 炮灰
暴躁天竺鼠, 21395350, 102901, 8372, 0, 78890693, 203864, 12278, 590226, 26980, 江漢, 閒雲
謝翾, 21270759, 30156, 2150, 0, 64656599, 58317, 5560, 1067340, 21713, 司隸, 流浪動物
玩命l大愛, 21120305, 121714, 2715, 0, 72804891, 209756, 4108, 264071, 21200, 司隸, 淩魂
憤怒丨中士鄧, 20654001, 146341, 3080, 0, 82602374, 321871, 6444, 650804, 24803, 司隸, 金槍
愛吃葡萄, 20652391, 79123, 1043, 0, 58074196, 136103, 5615, 460851, 17946, 司隸, 閒雲
月丨莫西多, 20397695, 123350, 5732, 0, 59275996, 223195, 9154, 247582, 18132, 司隸, 肥宅
異獸朱雀, 20091826, 22128, 400, 9263833, 38863857, 35313, 4040, 20854112, 16280, 江漢, 流浪動物
凌魂丨流星, 20003952, 50589, 5382, 0, 60977809, 92615, 10373, 142243, 20356, 司隸, 淩魂
玥淓汣沐, 19724525, 189900, 1402, 0, 104940317, 502830, 4242, 323157, 23640, 司隸, 淩魂
狼燚丨伍衡, 19559046, 17407, 1050, 0, 42043083, 28534, 1400, 1290921, 21510, 司隸, 閒雲
凰丨凌波微步, 19428857, 23195, 975, 0, 42099943, 29362, 975, 541580, 21200, 司隸, 肥宅
浦喜丨凸凸, 19354604, 30034, 0, 0, 42217117, 31984, 0, 821979, 10033, 司隸, 天狼星
打我浸豬籠, 19287332, 687, 1948, 2423110, 21907554, 702, 2298, 3261381, 11523, 司隸, 小號
銀劍臭茜, 19273964, 104164, 3306, 0, 64935685, 205132, 5118, 356412, 23353, 司隸, 銀劍
浦喜丨夜影, 19221463, 90097, 1250, 0, 57945075, 124242, 3100, 0, 20920, 司隸, 天狼星
銀劍潛龍, 18468109, 99588, 14764, 80685, 100781970, 248733, 28374, 330034, 21653, 司隸, 銀劍
痴道人, 18148880, 73562, 1703, 0, 72485348, 134666, 6403, 689351, 17273, 司隸, 金槍
夜幽蓮華, 17764019, 9656, 2770, 7536458, 32097846, 33592, 4821, 12345695, 13170, 司隸, 流浪動物
猜猜我是誰, 17667508, 74460, 1201, 0, 69273157, 113290, 2328, 534079, 18040, 司隸, 炮灰
狼燚丨出返去, 17597258, 117945, 3975, 0, 97896658, 245369, 13181, 824675, 24183, 司隸, 閒雲
凌宇, 17357635, 82768, 1452, 0, 85795581, 182603, 3552, 148612, 23093, 司隸, 流浪動物
東東白, 17238737, 14116, 2558, 4739595, 50150850, 41752, 7673, 5466185, 19679, 江漢, 流浪動物
摩連奴, 17238727, 118482, 4961, 0, 108039090, 242797, 9391, 415700, 25100, 司隸, 淩魂
銀劍老Kel, 16915728, 73601, 2894, 0, 63750365, 114634, 6764, 338427, 20926, 司隸, 金槍
銀劍夏草, 16895617, 35728, 350, 0, 67543012, 71445, 2680, 688503, 20793, 江漢, 金槍
銀劍丹尼, 16669679, 113311, 1939, 0, 64283263, 193294, 6314, 623213, 21550, 司隸, 金槍
月影流风, 16289075, 193913, 11020, 0, 81704956, 382796, 14280, 409008, 18953, 司隸, 金槍
狼燚I阿瘦, 15873236, 80923, 1306, 0, 72396366, 197957, 4769, 323499, 28593, 司隸, 閒雲
軒丨農的傳人, 15611096, 70131, 6800, 0, 54664762, 118457, 11075, 599541, 18859, 司隸, 肥宅
銀劍五暗刻, 15175382, 99714, 4471, 0, 43712437, 181846, 7806, 201536, 24300, 司隸, 金槍
浦喜丨番茄, 15153394, 73573, 2630, 336180, 50069058, 148864, 7305, 1145143, 20260, 司隸, 天狼星
銀劍怪獸, 14939092, 84469, 5696, 0, 77315893, 183146, 9626, 364167, 19939, 司隸, 銀劍
玩爽, 14662229, 68988, 1803, 0, 50390677, 122048, 3885, 446809, 22863, 司隸, 肥宅
幽玉, 14309864, 70840, 1416, 524372, 60774536, 108688, 4396, 1363756, 18280, 司隸, 金槍
狼燚l永恆, 14101010, 33998, 2010, 0, 52036220, 66070, 4510, 111603, 20750, 司隸, 閒雲
銀劍西蘭花, 14048212, 70045, 978, 0, 73627108, 136131, 6115, 697671, 23026, 司隸, 金槍
司寇仕林, 13547335, 105905, 2600, 246128, 76985979, 189839, 6574, 607744, 26465, 司隸, 炮灰
東野喬, 13356213, 67243, 1926, 0, 71493408, 99753, 5200, 565138, 22590, 司隸, 天狼星
跳跳天竺鼠, 13301830, 59856, 1646, 0, 75270433, 112059, 4381, 491618, 21726, 江漢, 閒雲
銀劍魔皇, 12542966, 75609, 5693, 0, 46295618, 183336, 8422, 112988, 22043, 司隸, 銀劍
凌魂丨泡泡龍, 12226024, 34272, 500, 0, 48288413, 68833, 1482, 331363, 24573, 司隸, 淩魂
劉英雄, 11169654, 33186, 3624, 0, 36546906, 129546, 7681, 240079, 22286, 司隸, 天狼星
凌魂丨涵涵, 10385074, 9891, 700, 0, 38683447, 13669, 2400, 191848, 23700, 司隸, 閒雲
花雕蒸臭蟹, 10344086, 78274, 1901, 1371825, 52685431, 135615, 2251, 1845558, 22010, 司隸, 銀劍
銀劍哥布林, 9999694, 25404, 1564, 0, 39388277, 38849, 4077, 409698, 19423, 司隸, 金槍
龍趙, 9924247, 86794, 957, 0, 61413906, 177594, 3365, 337642, 19146, 司隸, 流浪動物
單于抽名將, 9814561, 56442, 7129, 0, 9814561, 56442, 7129, 0, 27340, 司隸, 肥宅
銀劍丨鰲拜, 9483218, 42115, 1873, 0, 37322809, 69456, 4303, 1024442, 21323, 江漢, 金槍
孤丨枚梓鹿, 8595931, 62335, 8173, 0, 42737279, 104042, 11023, 0, 15323, 司隸, 流浪動物
ITZY帝鯊, 5559090, 33449, 335, 0, 14101930, 52266, 1535, 924091, 13243, 司隸, 銀劍
騎貓逛街的魚, 5277474, 39894, 2225, 0, 29961352, 65737, 3659, 370278, 20723, 司隸, 小號
梓, 4752818, 0, 350, 6419211, 13158629, 0, 1177, 10983366, 12983, 山東, 小號
黃道丨雙魚, 4525923, 1634, 0, 0, 28500080, 1839, 0, 0, 16173, 司隸, 肥宅
夜王l哈士奇, 2233893, 0, 1050, 7482250, 7142409, 0, 1100, 16035676, 12743, 江漢, 小號
凌魂丨雷羽, 2115825, 0, 350, 18775495, 2171278, 0, 350, 18775495, 6943, 山東, 小號
岳將軍, 0, 0, 0, 0, 23298, 0, 0, 0, 413, 山東, 未分組
