成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
銀劍東松, 60718205, 487777, 9966, 0, 184154435, 811957, 16543, 306160, 31690, 司隸, 金槍
凌魂丨笑容, 74907125, 438587, 9811, 0, 170212520, 750964, 13847, 268765, 28380, 司隸, 閒雲
愛吃橘里, 54096764, 449775, 13001, 0, 148221041, 723681, 23979, 578768, 31220, 司隸, 淩魂
鄉鄉莉莉, 43193503, 412996, 8070, 0, 105494525, 703155, 12596, 314637, 30183, 司隸, 閒雲
狼燚丨阿胖, 51982877, 436600, 7868, 0, 128834410, 700616, 9521, 520830, 26300, 司隸, 閒雲
銀劍南柏, 53483146, 413674, 6971, 0, 156792133, 667200, 11163, 924456, 28613, 司隸, 金槍
銀劍神騎, 72068586, 390202, 13525, 0, 162293251, 652820, 19783, 90181, 31112, 司隸, 銀劍
凌魂丨馬革, 57707327, 432914, 17633, 0, 125735686, 638399, 22088, 81947, 27583, 司隸, 淩魂
玥淓汣沐, 27963742, 316128, 2057, 0, 113179534, 629058, 4897, 323157, 23690, 司隸, 淩魂
銀劍孫公, 77842607, 344538, 16531, 0, 171438204, 628854, 26742, 257649, 31513, 司隸, 銀劍
月丨巴宅Ya, 42002913, 370905, 12920, 0, 106254976, 621721, 15972, 397964, 27426, 司隸, 肥宅
角落小夥伴, 51664147, 325843, 13311, 0, 133740791, 619956, 21418, 80615, 25708, 司隸, 炮灰
月丨白金肝帝, 52023353, 382453, 7958, 0, 152347774, 611344, 15221, 94228, 30893, 司隸, 肥宅
Sakura, 86913656, 340478, 10867, 0, 170233764, 605647, 17328, 85953, 29815, 司隸, 炮灰
月丨德瑞克, 61001092, 364041, 3866, 0, 143728388, 604510, 4388, 80624, 28690, 司隸, 肥宅
銀劍北杉, 40424344, 332612, 5477, 0, 169948751, 597682, 6947, 86791, 29130, 司隸, 金槍
炮灰丨千里, 42062086, 383184, 24710, 0, 114830458, 593455, 30882, 494354, 31630, 司隸, 炮灰
魚缸裡的小魚, 79805323, 336636, 5169, 0, 180850777, 589840, 8866, 86457, 30376, 司隸, 淩魂
凌魂丨天水, 49120739, 334661, 8524, 0, 133591476, 564298, 13131, 932401, 25974, 司隸, 天狼星
銀劍任鈞, 45337829, 340938, 7161, 0, 124421274, 559217, 10589, 60963, 28516, 司隸, 銀劍
玩命丨歐吉桑, 51364289, 369320, 8580, 0, 138638110, 550503, 11418, 83723, 29730, 司隸, 淩魂
狼燚丨蓝莓, 45288862, 286011, 1958, 0, 121644400, 550348, 5004, 640802, 30970, 司隸, 閒雲
炑炑, 52125134, 330980, 23278, 0, 141040163, 550097, 43099, 242739, 29646, 司隸, 炮灰
月丨巴宅伍天, 34446483, 359598, 3933, 0, 115812625, 538422, 5883, 414142, 29130, 司隸, 肥宅
曾英雄, 50354713, 297308, 5397, 0, 136050854, 533724, 8447, 720788, 29090, 司隸, 天狼星
銀劍中頑童, 49733297, 338082, 2819, 0, 127339634, 520431, 6766, 847933, 29726, 司隸, 金槍
唐少帥, 29173654, 353524, 9910, 0, 96138288, 520273, 22260, 194760, 21283, 司隸, 炮灰
九方好漢, 52033000, 295822, 24037, 0, 132429439, 518281, 35197, 408718, 28803, 司隸, 淩魂
玩命丨史塔森, 53994496, 318703, 14353, 0, 122836798, 501692, 18029, 341302, 25203, 司隸, 淩魂
月丨雷羽, 39609075, 286703, 11145, 0, 134897082, 501164, 16546, 183772, 29199, 司隸, 肥宅
浦喜丨化骨龍, 42098387, 289572, 4791, 0, 114522290, 497558, 7733, 587560, 28833, 司隸, 天狼星
凌魂丨銀時, 52643704, 223022, 2856, 0, 130364152, 493738, 4743, 266078, 26400, 司隸, 閒雲
銀劍陳仔, 60407724, 278464, 8981, 5297028, 147913350, 492014, 12064, 6010998, 32723, 司隸, 銀劍
戰神丨土, 69604145, 275163, 8032, 0, 142487664, 489362, 12423, 74726, 28150, 司隸, 炮灰
不吃魚的貓, 63682252, 310919, 18404, 0, 142756685, 489223, 28261, 579200, 27813, 司隸, 炮灰
玩命丨鴛鴦, 69850875, 219891, 3058, 0, 183203261, 480850, 7117, 492428, 28263, 司隸, 淩魂
銀劍關翔, 52189911, 296687, 15229, 0, 134343960, 478535, 23040, 862356, 26740, 司隸, 金槍
七星檸檬多, 38446426, 331738, 18783, 0, 71653645, 477715, 24944, 418391, 25170, 司隸, 炮灰
葉否放, 50250641, 243758, 38584, 0, 138718215, 470986, 54821, 482035, 32286, 司隸, 流浪動物
銀劍仲達, 64035156, 286415, 3513, 0, 152778890, 470435, 6081, 365631, 27793, 司隸, 金槍
凌魂丨魔狼, 64927822, 299205, 11651, 0, 142058071, 469208, 17902, 402393, 34250, 司隸, 天狼星
軒風, 50318609, 308001, 1804, 0, 154677593, 455098, 2804, 600710, 24593, 司隸, 肥宅
周英雄, 45802843, 266031, 11100, 0, 106899452, 452952, 13935, 283550, 28860, 司隸, 天狼星
狼燚丨潛農, 60708037, 286219, 10944, 0, 154347569, 446036, 15215, 752355, 31677, 司隸, 閒雲
凌魂丨西柚, 37493354, 247335, 2661, 0, 118850377, 441566, 7922, 1363186, 26913, 司隸, 閒雲
月影流风, 28152247, 247523, 15216, 0, 93568128, 436406, 18476, 409008, 21696, 司隸, 金槍
宇治, 70759798, 276465, 54300, 0, 157514169, 431785, 78125, 80132, 28718, 司隸, 炮灰
唔係真事呀, 52156337, 278948, 4315, 0, 119511374, 427522, 10768, 812404, 26072, 司隸, 天狼星
愛吃豆腐, 39467663, 271974, 16245, 0, 101311278, 426503, 30850, 839957, 28780, 司隸, 炮灰
貪婪丨上兵蘭, 52074351, 242350, 11707, 0, 136767075, 424063, 14546, 473672, 26700, 司隸, 金槍
月丨可以, 55044522, 269761, 8945, 0, 113085784, 422702, 17546, 944545, 24410, 司隸, 肥宅
偷食魚嘅貓, 59906251, 272764, 13669, 0, 129757753, 420333, 20416, 391082, 25820, 司隸, 炮灰
令狐藍藍, 34223825, 280228, 3867, 0, 87236410, 410719, 7751, 217241, 29200, 司隸, 閒雲
月丨南方的凰, 30289953, 203451, 4617, 0, 126656393, 408903, 10373, 350614, 26590, 司隸, 肥宅
Suede, 72424577, 232025, 19238, 0, 154480999, 388344, 29051, 278196, 28046, 司隸, 流浪動物
憤怒丨中士鄧, 31526608, 210390, 5036, 0, 93474981, 385920, 8400, 650804, 24910, 司隸, 金槍
狼燚丨從一, 45788680, 183073, 6813, 0, 132722338, 376117, 11314, 482231, 27670, 司隸, 閒雲
獨居老年人, 39293268, 213988, 12856, 0, 79892568, 369318, 23517, 410124, 25286, 司隸, 炮灰
浦喜丨情人節, 67715227, 208609, 23380, 0, 151399146, 369290, 31836, 81067, 29824, 司隸, 天狼星
阿古路, 34957703, 262330, 17045, 0, 50637431, 369157, 18934, 0, 23956, 司隸, 炮灰
偷吃魚的貓, 49377633, 211465, 13197, 0, 108216510, 361159, 22946, 291209, 27399, 司隸, 炮灰
凌魂丨小A, 68050974, 235820, 10029, 0, 132843505, 360571, 13672, 832973, 26373, 司隸, 淩魂
銀劍右奇, 58839523, 209483, 4274, 0, 139818687, 356995, 8642, 396038, 28390, 司隸, 銀劍
龍丨馬卡龍, 57214299, 253802, 6169, 0, 146564564, 356449, 9882, 83231, 24609, 司隸, 流浪動物
龍丨四季廸魚, 44138919, 204867, 6791, 0, 132876492, 354867, 12080, 580907, 22661, 司隸, 流浪動物
銀劍白板仔, 40323366, 173827, 5285, 0, 143507418, 345010, 8761, 406713, 30070, 司隸, 銀劍
改咩名, 53947647, 229716, 16110, 275323, 120642078, 343605, 24445, 890756, 31919, 司隸, 淩魂
銀劍發春仔, 89939372, 198377, 4678, 0, 222576949, 340868, 7666, 422706, 29830, 司隸, 銀劍
月丨棒打, 38439986, 218049, 9071, 130117, 119383117, 339228, 13904, 437176, 26396, 司隸, 肥宅
銀劍二筒, 52989159, 108746, 8463, 0, 123440902, 332939, 22679, 100865, 26955, 司隸, 銀劍
天之鳳凰, 55566234, 232634, 5142, 0, 137026772, 332081, 7463, 90773, 27706, 司隸, 金槍
