成員, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
凌魂丨笑容, 19754767, 100550, 16528, 0, 190450464, 861180, 30375, 268765, 31166, 司隸, 閒雲
凌魂丨魔狼, 14413019, 69747, 7588, 0, 156471090, 538955, 25490, 402393, 33226, 司隸, 天狼星
Sakura, 17793007, 102101, 9142, 0, 188126674, 709747, 26470, 85953, 30415, 司隸, 炮灰
炮灰丨千里, 8981928, 80753, 16048, 0, 124512820, 688221, 47409, 494354, 30933, 司隸, 炮灰
凌魂丨戢武, 6377703, 12954, 3052, 0, 53862336, 141140, 13363, 447826, 20570, 司隸, 天狼星
凌魂丨天水, 27063016, 77640, 8459, 0, 163199561, 647871, 21625, 932401, 27326, 司隸, 天狼星
凌魂丨馬革, 24858142, 74429, 14253, 0, 152554511, 717746, 37399, 81947, 29892, 司隸, 淩魂
銀劍神騎, 20495734, 81673, 24322, 0, 182788985, 734493, 44105, 90181, 33443, 司隸, 銀劍
獨居老年人, 20123209, 48502, 13046, 0, 102223060, 427735, 37048, 410124, 30069, 司隸, 炮灰
銀劍東松, 17931507, 108587, 4645, 0, 203404155, 936018, 21338, 306160, 32790, 司隸, 金槍
玩命丨歐吉桑, 12186622, 59495, 10519, 0, 151423007, 621950, 22138, 83723, 31610, 司隸, 淩魂
狼燚丨阿胖, 10960572, 140568, 4903, 0, 140451145, 854312, 14525, 520830, 26280, 司隸, 閒雲
凌魂丨銀時, 9413124, 80027, 6534, 0, 140451034, 578204, 11312, 266078, 24520, 司隸, 閒雲
龍丨肥龍, 9336839, 22593, 6255, 0, 96106006, 277117, 15152, 0, 18310, 司隸, 流浪動物
月丨巴宅阿瑞, 4110822, 47732, 5377, 0, 75917669, 294288, 23828, 609919, 25350, 司隸, 肥宅
月丨暴君熊, 32457794, 22910, 13351, 0, 204839898, 323526, 38775, 263070, 30416, 司隸, 肥宅
月丨南方的凰, 30148099, 89684, 2540, 0, 157490301, 512264, 13014, 350614, 26900, 司隸, 肥宅
銀劍丨必廚, 28088435, 41436, 7266, 0, 121012231, 175708, 12598, 4907134, 31383, 司隸, 銀劍
殘存末路, 27687589, 25672, 2747, 0, 137793116, 256980, 9659, 81090, 29710, 司隸, 閒雲
銀劍烈焰, 25867726, 27656, 9196, 0, 160746240, 242344, 23518, 404192, 26995, 司隸, 銀劍
不吃魚的貓, 25130657, 68103, 10838, 0, 167887453, 557326, 39134, 579200, 29035, 司隸, 炮灰
銀劍一枝草, 22971362, 34428, 27985, 0, 142332444, 279514, 34723, 428449, 30723, 司隸, 金槍
宇治, 22746710, 107724, 36936, 0, 180805091, 541601, 115726, 80132, 30553, 司隸, 炮灰
暴躁天竺鼠, 22667580, 14516, 22700, 0, 122918980, 245704, 39389, 590226, 30010, 司隸, 閒雲
唔係真事呀, 22450315, 68560, 16568, 2003120, 142274725, 501275, 27336, 2815524, 29946, 司隸, 天狼星
銀劍北杉, 21773199, 48549, 8013, 0, 191721950, 646231, 14995, 86791, 29053, 司隸, 金槍
戰神丨土, 21387063, 87517, 7948, 0, 164174982, 582886, 20371, 74726, 28550, 司隸, 炮灰
凌魂丨小A, 21363159, 36024, 9581, 0, 154665786, 402518, 23455, 832973, 27806, 司隸, 淩魂
銀劍歐底特, 21100247, 23853, 16944, 0, 184739009, 170187, 39966, 498997, 25908, 司隸, 金槍
銀劍二筒, 21021259, 34371, 15395, 0, 144467867, 367310, 38074, 100865, 31025, 司隸, 銀劍
條子杯杯, 20429150, 45543, 11361, 0, 119442220, 302489, 36923, 125615, 25096, 司隸, 流浪動物
凌魂丨餐蛋麵, 19821861, 36458, 6534, 0, 126664976, 317155, 19066, 380606, 27209, 司隸, 淩魂
浦喜丨情人節, 19713312, 76889, 11194, 0, 171823325, 453509, 43030, 81067, 31551, 司隸, 天狼星
天之鳳凰, 19699776, 83337, 2128, 0, 157485998, 417841, 9591, 90773, 28569, 司隸, 金槍
銀劍臭茜, 19486265, 37811, 2370, 0, 96038419, 301578, 9084, 356412, 24973, 司隸, 銀劍
Suede, 19300933, 78182, 9811, 0, 174296025, 469037, 39703, 278196, 28100, 司隸, 流浪動物
傲驕丨鬼連長, 19261440, 25533, 17372, 0, 147672093, 328090, 31138, 584258, 30900, 司隸, 金槍
葉否放, 19134486, 84681, 28353, 0, 160602515, 566909, 85106, 482035, 33636, 司隸, 流浪動物
月丨德瑞克, 19128700, 69291, 5629, 0, 164545953, 683550, 10017, 80624, 29110, 司隸, 肥宅
玩命丨史塔森, 17993963, 105623, 5597, 0, 141086211, 612427, 23626, 341302, 28796, 司隸, 淩魂
猜猜我是誰, 17761679, 37066, 3026, 0, 102225156, 186116, 7188, 534079, 22103, 司隸, 炮灰
凌魂丨K, 17554655, 15093, 7331, 0, 121193745, 189737, 20116, 101157, 27659, 司隸, 淩魂
軒風, 17360953, 45458, 202, 0, 175168175, 505815, 3006, 600710, 25033, 司隸, 肥宅
